data,Benchmark,LSTM_rm
2016-01-31,0.0,0.0
2016-02-29,0.0,0.0
2016-03-31,0.0,0.0
2016-04-30,0.0,0.0
2016-05-31,0.0,0.0
2016-06-30,0.0,0.0
2016-07-31,0.08290484875928872,0.003627222234552585
2016-08-31,0.08410238823733018,-0.023003435757653068
2016-09-30,0.07913412157620414,-0.017401294974712322
2016-10-31,0.06179708992067212,-0.0679894045960836
2016-11-30,0.09863548897328478,-0.13452521578475718
2016-12-31,0.1129289540186249,-0.14171132161796318
2017-01-31,0.1308236438671646,-0.13538611341006368
2017-02-28,0.1701151768051048,-0.11452098671158073
2017-03-31,0.1670281225328052,-0.11691250899603134
2017-04-30,0.17695429663717666,-0.10922812320477215
2017-05-31,0.19106720231808239,-0.09827825707375226
2017-06-30,0.19255825850890118,-0.09711776261416805
2017-07-31,0.21311244030367682,-0.08111508612557461
2017-08-31,0.21603014184048175,-0.07883330222854623
2017-09-30,0.2311418237321301,-0.06700773696932127
2017-10-31,0.25470588164568264,-0.0485079228408708
2017-11-30,0.28527176169895885,-0.02439175702051355
2017-12-31,0.292252537963122,-0.0188493091891887
2018-01-31,0.34861171270079616,0.025961552096667728
2018-02-28,0.31225130042010674,-0.0032679484895612454
2018-03-31,0.2809610365107358,-0.02823687581250134
2018-04-30,0.28612925197980243,-0.024139493585868088
2018-05-31,0.3104383232375545,-0.004846609867084073
2018-06-30,0.31169320009157,-0.00384577617822468
2018-07-31,0.348739749185464,0.002072477990235022
2018-08-31,0.3806595992367894,0.011990167699295728
2018-09-30,0.3820718952843156,-0.013309576607307139
2018-10-31,0.3129676153808525,-0.04114444820426477
2018-11-30,0.33151688531803347,-0.03553684997290085
2018-12-31,0.23817389131382716,-0.10881523578060082
2019-01-31,0.3182394909194626,-0.047321078111273285
2019-02-28,0.3506553033057127,-0.021988620043974172
2019-03-31,0.36429108057863613,-0.02818173773891619
2019-04-30,0.4051434509359224,-0.033551649625418234
2019-05-31,0.3413722765239401,-0.019354591340210447
2019-06-30,0.40578180787117135,0.04551069769083216
2019-07-31,0.42090123679875246,0.048123932533174596
2019-08-31,0.4041578666229729,0.0817781442643224
2019-09-30,0.41892954255500336,0.07586721860749623
2019-10-31,0.44103419532126253,0.0796532535494503
2019-11-30,0.4772324331229586,0.09167184946468643
2019-12-31,0.5012532655864926,0.11138912919470778
2020-01-31,0.5008494428960379,0.11105625611448167
2020-02-29,0.4216836816957703,0.04580415140459815
2020-03-31,0.291696479588774,-0.0597425564081534
2020-04-30,0.4186800333669627,-0.03519262722189509
2020-05-31,0.46632529574111636,-0.030075565441690544
2020-06-30,0.47960072269337584,-0.016975607246639934
2020-07-31,0.5384929412845951,0.05153913961595802
2020-08-31,0.6082896131936084,0.04224760186220877
2020-09-30,0.5670082785311574,0.01744263437717275
2020-10-31,0.5420747011228213,0.0068984482714795625
2020-11-30,0.6508515372965897,-0.021742310198057835
2020-12-31,0.6834980804218238,0.00970335858542759
2021-01-31,0.6733076516509995,0.001590728865981883
2021-02-28,0.7011131420276586,0.023680389496850363
2021-03-31,0.7430996859222332,0.05722251276570256
2021-04-30,0.7945971863728782,0.09869886007316697
