,MeanVariance,CLA,HRP,nonconvex,random
0,0.13885813031451585,0.13868712796207022,0.11024788547070226,0.0612590852254514,0.02956804154097008
1,0.15431534369228,0.15428922955081573,0.0835949186196438,0.06938361696209037,0.06533499503973801
2,0.0819161047960144,0.08187145121929365,0.08347669894667331,0.07485864248020915,0.06870130520923426
3,0.20347097787603127,0.20623517676372158,0.20564170351991104,0.1822697018069882,0.16015041890098286
4,0.13448347415988465,0.13451616763745108,0.10722552662814883,0.10849625394125495,0.009915299975173288
5,0.1585597841938718,0.15847039316474756,0.09677716937667667,0.12335357212268103,0.06936964948467711
6,0.13577507176359965,0.13574282232989274,0.08215899372126378,0.07511491582961644,0.09593186051548233
7,0.14758067597427837,0.14754508061151325,0.008762915858849711,-0.015748631822905278,-0.039588444044672606
8,0.2544470786718917,0.25454046025541416,0.24847852092030956,0.23511110791622047,0.20487131848872922
9,-0.04868510821863445,-0.025336543890802928,-0.08721983858338957,-0.08976436450017503,-0.09037998793098038
